codepoint,value,subnormal
0x0165,0x1p-155, 
0x0166,0x1p-154, 
0x0167,0x1p-153, 
0x0168,0x1p-152, 
0x0169,0x1p-151, 
0x016a,0x1p-150, 
0x016b,0x1p-149, 
0x016c,0x1p-148, 
0x016d,0x1p-147, 
0x016e,0x1p-146, 
0x016f,0x1p-145, 
0x0170,0x1p-144, 
0x0171,0x1p-143, 
0x0172,0x1p-142, 
0x0173,0x1p-141, 
0x0174,0x1p-140, 
0x0175,0x1p-139, 
0x0176,0x1p-138, 
0x0177,0x1p-137, 
0x0178,0x1p-136, 
0x0179,0x1p-135, 
0x017a,0x1p-134, 
0x017b,0x1p-133, 
0x017c,0x1p-132, 
0x017d,0x1p-131, 
0x017e,0x1p-130, 
0x017f,0x1p-129, 
0x0180,0x1p-128, 
0x0181,0x1p-127, 
0x0182,0x1p-126, 
0x0183,0x1p-125, 
0x0184,0x1p-124, 
0x0185,0x1p-123, 
0x0186,0x1p-122, 
0x0187,0x1p-121, 
0x0188,0x1p-120, 
0x0189,0x1p-119, 
0x018a,0x1p-118, 
0x018b,0x1p-117, 
0x018c,0x1p-116, 
0x018d,0x1p-115, 
0x018e,0x1p-114, 
0x018f,0x1p-113, 
0x0190,0x1p-112, 
0x0191,0x1p-111, 
0x0192,0x1p-110, 
0x0193,0x1p-109, 
0x0194,0x1p-108, 
0x0195,0x1p-107, 
0x0196,0x1p-106, 
0x0197,0x1p-105, 
0x0198,0x1p-104, 
0x0199,0x1p-103, 
0x019a,0x1p-102, 
0x019b,0x1p-101, 
0x019c,0x1p-100, 
0x019d,0x1p-99, 
0x019e,0x1p-98, 
0x019f,0x1p-97, 
0x01a0,0x1p-96, 
0x01a1,0x1p-95, 
0x01a2,0x1p-94, 
0x01a3,0x1p-93, 
0x01a4,0x1p-92, 
0x01a5,0x1p-91, 
0x01a6,0x1p-90, 
0x01a7,0x1p-89, 
0x01a8,0x1p-88, 
0x01a9,0x1p-87, 
0x01aa,0x1p-86, 
0x01ab,0x1p-85, 
0x01ac,0x1p-84, 
0x01ad,0x1p-83, 
0x01ae,0x1p-82, 
0x01af,0x1p-81, 
0x01b0,0x1p-80, 
0x01b1,0x1p-79, 
0x01b2,0x1p-78, 
0x01b3,0x1p-77, 
0x01b4,0x1p-76, 
0x01b5,0x1p-75, 
0x01b6,0x1p-74, 
0x01b7,0x1p-73, 
0x01b8,0x1p-72, 
0x01b9,0x1p-71, 
0x01ba,0x1p-70, 
0x01bb,0x1p-69, 
0x01bc,0x1p-68, 
0x01bd,0x1p-67, 
0x01be,0x1p-66, 
0x01bf,0x1p-65, 
0x01c0,0x1p-64, 
0x01c1,0x1p-63, 
0x01c2,0x1p-62, 
0x01c3,0x1p-61, 
0x01c4,0x1p-60, 
0x01c5,0x1p-59, 
0x01c6,0x1p-58, 
0x01c7,0x1p-57, 
0x01c8,0x1p-56, 
0x01c9,0x1p-55, 
0x01ca,0x1p-54, 
0x01cb,0x1p-53, 
0x01cc,0x1p-52, 
0x01cd,0x1p-51, 
0x01ce,0x1p-50, 
