codepoint,value,subnormal
0x01e2,0x1p+226, 
0x01e3,0x1p+227, 
0x01e4,0x1p+228, 
0x01e5,0x1p+229, 
0x01e6,0x1p+230, 
0x01e7,0x1p+231, 
0x01e8,0x1p+232, 
0x01e9,0x1p+233, 
0x01ea,0x1p+234, 
0x01eb,0x1p+235, 
0x01ec,0x1p+236, 
0x01ed,0x1p+237, 
0x01ee,0x1p+238, 
0x01ef,0x1p+239, 
0x01f0,0x1p+240, 
0x01f1,0x1p+241, 
0x01f2,0x1p+242, 
0x01f3,0x1p+243, 
0x01f4,0x1p+244, 
0x01f5,0x1p+245, 
0x01f6,0x1p+246, 
0x01f7,0x1p+247, 
0x01f8,0x1p+248, 
0x01f9,0x1p+249, 
0x01fa,0x1p+250, 
0x01fb,0x1p+251, 
0x01fc,0x1p+252, 
0x01fd,0x1p+253, 
0x01fe,Inf, 
0x01ff,NaN, 
