codepoint,values,subnormal
0x012f,0x1.cp-16309, 
0x0130,0x1p-16308, 
0x0131,0x1.4p-16308, 
0x0132,0x1.8p-16308, 
0x0133,0x1.cp-16308, 
0x0134,0x1p-16307, 
0x0135,0x1.4p-16307, 
0x0136,0x1.8p-16307, 
0x0137,0x1.cp-16307, 
0x0138,0x1p-16306, 
0x0139,0x1.4p-16306, 
0x013a,0x1.8p-16306, 
0x013b,0x1.cp-16306, 
0x013c,0x1p-16305, 
0x013d,0x1.4p-16305, 
0x013e,0x1.8p-16305, 
0x013f,0x1.cp-16305, 
0x0140,0x1p-16304, 
0x0141,0x1.4p-16304, 
0x0142,0x1.8p-16304, 
0x0143,0x1.cp-16304, 
0x0144,0x1p-16303, 
0x0145,0x1.4p-16303, 
0x0146,0x1.8p-16303, 
0x0147,0x1.cp-16303, 
0x0148,0x1p-16302, 
0x0149,0x1.4p-16302, 
0x014a,0x1.8p-16302, 
0x014b,0x1.cp-16302, 
0x014c,0x1p-16301, 
0x014d,0x1.4p-16301, 
0x014e,0x1.8p-16301, 
0x014f,0x1.cp-16301, 
0x0150,0x1p-16300, 
0x0151,0x1.4p-16300, 
0x0152,0x1.8p-16300, 
0x0153,0x1.cp-16300, 
0x0154,0x1p-16299, 
0x0155,0x1.4p-16299, 
0x0156,0x1.8p-16299, 
0x0157,0x1.cp-16299, 
0x0158,0x1p-16298, 
0x0159,0x1.4p-16298, 
0x015a,0x1.8p-16298, 
0x015b,0x1.cp-16298, 
0x015c,0x1p-16297, 
0x015d,0x1.4p-16297, 
0x015e,0x1.8p-16297, 
0x015f,0x1.cp-16297, 
0x0160,0x1p-16296, 
0x0161,0x1.4p-16296, 
0x0162,0x1.8p-16296, 
0x0163,0x1.cp-16296, 
0x0164,0x1p-16295, 
0x0165,0x1.4p-16295, 
0x0166,0x1.8p-16295, 
0x0167,0x1.cp-16295, 
0x0168,0x1p-16294, 
0x0169,0x1.4p-16294, 
0x016a,0x1.8p-16294, 
0x016b,0x1.cp-16294, 
0x016c,0x1p-16293, 
0x016d,0x1.4p-16293, 
0x016e,0x1.8p-16293, 
0x016f,0x1.cp-16293, 
0x0170,0x1p-16292, 
0x0171,0x1.4p-16292, 
0x0172,0x1.8p-16292, 
0x0173,0x1.cp-16292, 
0x0174,0x1p-16291, 
0x0175,0x1.4p-16291, 
0x0176,0x1.8p-16291, 
0x0177,0x1.cp-16291, 
0x0178,0x1p-16290, 
0x0179,0x1.4p-16290, 
0x017a,0x1.8p-16290, 
0x017b,0x1.cp-16290, 
0x017c,0x1p-16289, 
0x017d,0x1.4p-16289, 
0x017e,0x1.8p-16289, 
0x017f,0x1.cp-16289, 
0x0180,0x1p-16288, 
0x0181,0x1.4p-16288, 
0x0182,0x1.8p-16288, 
0x0183,0x1.cp-16288, 
0x0184,0x1p-16287, 
0x0185,0x1.4p-16287, 
0x0186,0x1.8p-16287, 
0x0187,0x1.cp-16287, 
0x0188,0x1p-16286, 
0x0189,0x1.4p-16286, 
0x018a,0x1.8p-16286, 
0x018b,0x1.cp-16286, 
0x018c,0x1p-16285, 
0x018d,0x1.4p-16285, 
0x018e,0x1.8p-16285, 
0x018f,0x1.cp-16285, 
0x0190,0x1p-16284, 
0x0191,0x1.4p-16284, 
0x0192,0x1.8p-16284, 
0x0193,0x1.cp-16284, 
0x0194,0x1p-16283, 
0x0195,0x1.4p-16283, 
0x0196,0x1.8p-16283, 
0x0197,0x1.cp-16283, 
0x0198,0x1p-16282, 
0x0199,0x1.4p-16282, 
0x019a,0x1.8p-16282, 
0x019b,0x1.cp-16282, 
0x019c,0x1p-16281, 
0x019d,0x1.4p-16281, 
0x019e,0x1.8p-16281, 
0x019f,0x1.cp-16281, 
0x01a0,0x1p-16280, 
0x01a1,0x1.4p-16280, 
0x01a2,0x1.8p-16280, 
0x01a3,0x1.cp-16280, 
0x01a4,0x1p-16279, 
0x01a5,0x1.4p-16279, 
0x01a6,0x1.8p-16279, 
0x01a7,0x1.cp-16279, 
0x01a8,0x1p-16278, 
0x01a9,0x1.4p-16278, 
0x01aa,0x1.8p-16278, 
0x01ab,0x1.cp-16278, 
0x01ac,0x1p-16277, 
0x01ad,0x1.4p-16277, 
0x01ae,0x1.8p-16277, 
0x01af,0x1.cp-16277, 
0x01b0,0x1p-16276, 
0x01b1,0x1.4p-16276, 
0x01b2,0x1.8p-16276, 
0x01b3,0x1.cp-16276, 
0x01b4,0x1p-16275, 
0x01b5,0x1.4p-16275, 
0x01b6,0x1.8p-16275, 
0x01b7,0x1.cp-16275, 
0x01b8,0x1p-16274, 
0x01b9,0x1.4p-16274, 
0x01ba,0x1.8p-16274, 
0x01bb,0x1.cp-16274, 
0x01bc,0x1p-16273, 
0x01bd,0x1.4p-16273, 
0x01be,0x1.8p-16273, 
0x01bf,0x1.cp-16273, 
0x01c0,0x1p-16272, 
0x01c1,0x1.4p-16272, 
0x01c2,0x1.8p-16272, 
0x01c3,0x1.cp-16272, 
0x01c4,0x1p-16271, 
0x01c5,0x1.4p-16271, 
0x01c6,0x1.8p-16271, 
0x01c7,0x1.cp-16271, 
0x01c8,0x1p-16270, 
0x01c9,0x1.4p-16270, 
0x01ca,0x1.8p-16270, 
0x01cb,0x1.cp-16270, 
0x01cc,0x1p-16269, 
0x01cd,0x1.4p-16269, 
0x01ce,0x1.8p-16269, 
0x01cf,0x1.cp-16269, 
0x01d0,0x1p-16268, 
