codepoint,value,subnormal
0x016f,-0x0.dep+0,*
0x0170,-0x0.ep+0,*
0x0171,-0x0.e2p+0,*
0x0172,-0x0.e4p+0,*
0x0173,-0x0.e6p+0,*
0x0174,-0x0.e8p+0,*
0x0175,-0x0.eap+0,*
0x0176,-0x0.ecp+0,*
0x0177,-0x0.eep+0,*
0x0178,-0x0.fp+0,*
0x0179,-0x0.f2p+0,*
0x017a,-0x0.f4p+0,*
0x017b,-0x0.f6p+0,*
0x017c,-0x0.f8p+0,*
0x017d,-0x0.fap+0,*
0x017e,-0x0.fcp+0,*
0x017f,-0x0.fep+0,*
0x0180,-0x1p+0, 
0x0181,-0x1.02p+0, 
0x0182,-0x1.04p+0, 
0x0183,-0x1.06p+0, 
0x0184,-0x1.08p+0, 
0x0185,-0x1.0ap+0, 
0x0186,-0x1.0cp+0, 
0x0187,-0x1.0ep+0, 
0x0188,-0x1.1p+0, 
0x0189,-0x1.12p+0, 
0x018a,-0x1.14p+0, 
0x018b,-0x1.16p+0, 
0x018c,-0x1.18p+0, 
0x018d,-0x1.1ap+0, 
0x018e,-0x1.1cp+0, 
0x018f,-0x1.1ep+0, 
0x0190,-0x1.2p+0, 
0x0191,-0x1.22p+0, 
0x0192,-0x1.24p+0, 
0x0193,-0x1.26p+0, 
0x0194,-0x1.28p+0, 
0x0195,-0x1.2ap+0, 
0x0196,-0x1.2cp+0, 
0x0197,-0x1.2ep+0, 
0x0198,-0x1.3p+0, 
0x0199,-0x1.32p+0, 
0x019a,-0x1.34p+0, 
0x019b,-0x1.36p+0, 
0x019c,-0x1.38p+0, 
0x019d,-0x1.3ap+0, 
0x019e,-0x1.3cp+0, 
0x019f,-0x1.3ep+0, 
0x01a0,-0x1.4p+0, 
0x01a1,-0x1.42p+0, 
0x01a2,-0x1.44p+0, 
0x01a3,-0x1.46p+0, 
0x01a4,-0x1.48p+0, 
0x01a5,-0x1.4ap+0, 
0x01a6,-0x1.4cp+0, 
0x01a7,-0x1.4ep+0, 
0x01a8,-0x1.5p+0, 
0x01a9,-0x1.52p+0, 
0x01aa,-0x1.54p+0, 
0x01ab,-0x1.56p+0, 
0x01ac,-0x1.58p+0, 
0x01ad,-0x1.5ap+0, 
0x01ae,-0x1.5cp+0, 
0x01af,-0x1.5ep+0, 
0x01b0,-0x1.6p+0, 
0x01b1,-0x1.62p+0, 
0x01b2,-0x1.64p+0, 
0x01b3,-0x1.66p+0, 
0x01b4,-0x1.68p+0, 
0x01b5,-0x1.6ap+0, 
0x01b6,-0x1.6cp+0, 
0x01b7,-0x1.6ep+0, 
0x01b8,-0x1.7p+0, 
0x01b9,-0x1.72p+0, 
0x01ba,-0x1.74p+0, 
0x01bb,-0x1.76p+0, 
0x01bc,-0x1.78p+0, 
0x01bd,-0x1.7ap+0, 
0x01be,-0x1.7cp+0, 
0x01bf,-0x1.7ep+0, 
0x01c0,-0x1.8p+0, 
0x01c1,-0x1.82p+0, 
0x01c2,-0x1.84p+0, 
0x01c3,-0x1.86p+0, 
0x01c4,-0x1.88p+0, 
0x01c5,-0x1.8ap+0, 
0x01c6,-0x1.8cp+0, 
0x01c7,-0x1.8ep+0, 
0x01c8,-0x1.9p+0, 
0x01c9,-0x1.92p+0, 
0x01ca,-0x1.94p+0, 
0x01cb,-0x1.96p+0, 
0x01cc,-0x1.98p+0, 
0x01cd,-0x1.9ap+0, 
0x01ce,-0x1.9cp+0, 
0x01cf,-0x1.9ep+0, 
0x01d0,-0x1.ap+0, 
0x01d1,-0x1.a2p+0, 
0x01d2,-0x1.a4p+0, 
0x01d3,-0x1.a6p+0, 
0x01d4,-0x1.a8p+0, 
0x01d5,-0x1.aap+0, 
0x01d6,-0x1.acp+0, 
0x01d7,-0x1.aep+0, 
0x01d8,-0x1.bp+0, 
0x01d9,-0x1.b2p+0, 
0x01da,-0x1.b4p+0, 
0x01db,-0x1.b6p+0, 
0x01dc,-0x1.b8p+0, 
0x01dd,-0x1.bap+0, 
0x01de,-0x1.bcp+0, 
0x01df,-0x1.bep+0, 
0x01e0,-0x1.cp+0, 
0x01e1,-0x1.c2p+0, 
0x01e2,-0x1.c4p+0, 
0x01e3,-0x1.c6p+0, 
