codepoint,values,subnormal
0x010c,0x0.10cp-4,*
0x010d,0x0.10dp-4,*
0x010e,0x0.10ep-4,*
0x010f,0x0.10fp-4,*
0x0110,0x0.11p-4,*
0x0111,0x0.111p-4,*
0x0112,0x0.112p-4,*
0x0113,0x0.113p-4,*
0x0114,0x0.114p-4,*
0x0115,0x0.115p-4,*
0x0116,0x0.116p-4,*
0x0117,0x0.117p-4,*
0x0118,0x0.118p-4,*
0x0119,0x0.119p-4,*
0x011a,0x0.11ap-4,*
0x011b,0x0.11bp-4,*
0x011c,0x0.11cp-4,*
0x011d,0x0.11dp-4,*
0x011e,0x0.11ep-4,*
0x011f,0x0.11fp-4,*
0x0120,0x0.12p-4,*
0x0121,0x0.121p-4,*
0x0122,0x0.122p-4,*
0x0123,0x0.123p-4,*
0x0124,0x0.124p-4,*
0x0125,0x0.125p-4,*
0x0126,0x0.126p-4,*
0x0127,0x0.127p-4,*
0x0128,0x0.128p-4,*
0x0129,0x0.129p-4,*
0x012a,0x0.12ap-4,*
0x012b,0x0.12bp-4,*
0x012c,0x0.12cp-4,*
0x012d,0x0.12dp-4,*
0x012e,0x0.12ep-4,*
0x012f,0x0.12fp-4,*
0x0130,0x0.13p-4,*
0x0131,0x0.131p-4,*
0x0132,0x0.132p-4,*
0x0133,0x0.133p-4,*
0x0134,0x0.134p-4,*
0x0135,0x0.135p-4,*
0x0136,0x0.136p-4,*
0x0137,0x0.137p-4,*
0x0138,0x0.138p-4,*
0x0139,0x0.139p-4,*
0x013a,0x0.13ap-4,*
0x013b,0x0.13bp-4,*
0x013c,0x0.13cp-4,*
0x013d,0x0.13dp-4,*
0x013e,0x0.13ep-4,*
0x013f,0x0.13fp-4,*
0x0140,0x0.14p-4,*
0x0141,0x0.141p-4,*
0x0142,0x0.142p-4,*
0x0143,0x0.143p-4,*
0x0144,0x0.144p-4,*
0x0145,0x0.145p-4,*
0x0146,0x0.146p-4,*
0x0147,0x0.147p-4,*
0x0148,0x0.148p-4,*
0x0149,0x0.149p-4,*
0x014a,0x0.14ap-4,*
0x014b,0x0.14bp-4,*
0x014c,0x0.14cp-4,*
0x014d,0x0.14dp-4,*
0x014e,0x0.14ep-4,*
0x014f,0x0.14fp-4,*
0x0150,0x0.15p-4,*
0x0151,0x0.151p-4,*
0x0152,0x0.152p-4,*
0x0153,0x0.153p-4,*
0x0154,0x0.154p-4,*
0x0155,0x0.155p-4,*
0x0156,0x0.156p-4,*
0x0157,0x0.157p-4,*
0x0158,0x0.158p-4,*
0x0159,0x0.159p-4,*
0x015a,0x0.15ap-4,*
0x015b,0x0.15bp-4,*
0x015c,0x0.15cp-4,*
0x015d,0x0.15dp-4,*
0x015e,0x0.15ep-4,*
0x015f,0x0.15fp-4,*
0x0160,0x0.16p-4,*
0x0161,0x0.161p-4,*
0x0162,0x0.162p-4,*
0x0163,0x0.163p-4,*
0x0164,0x0.164p-4,*
0x0165,0x0.165p-4,*
0x0166,0x0.166p-4,*
0x0167,0x0.167p-4,*
0x0168,0x0.168p-4,*
0x0169,0x0.169p-4,*
0x016a,0x0.16ap-4,*
0x016b,0x0.16bp-4,*
0x016c,0x0.16cp-4,*
0x016d,0x0.16dp-4,*
0x016e,0x0.16ep-4,*
0x016f,0x0.16fp-4,*
0x0170,0x0.17p-4,*
0x0171,0x0.171p-4,*
0x0172,0x0.172p-4,*
0x0173,0x0.173p-4,*
0x0174,0x0.174p-4,*
0x0175,0x0.175p-4,*
0x0176,0x0.176p-4,*
0x0177,0x0.177p-4,*
0x0178,0x0.178p-4,*
0x0179,0x0.179p-4,*
0x017a,0x0.17ap-4,*
0x017b,0x0.17bp-4,*
0x017c,0x0.17cp-4,*
0x017d,0x0.17dp-4,*
0x017e,0x0.17ep-4,*
0x017f,0x0.17fp-4,*
0x0180,0x0.18p-4,*
0x0181,0x0.181p-4,*
0x0182,0x0.182p-4,*
0x0183,0x0.183p-4,*
0x0184,0x0.184p-4,*
0x0185,0x0.185p-4,*
0x0186,0x0.186p-4,*
0x0187,0x0.187p-4,*
0x0188,0x0.188p-4,*
0x0189,0x0.189p-4,*
0x018a,0x0.18ap-4,*
0x018b,0x0.18bp-4,*
0x018c,0x0.18cp-4,*
0x018d,0x0.18dp-4,*
0x018e,0x0.18ep-4,*
0x018f,0x0.18fp-4,*
0x0190,0x0.19p-4,*
0x0191,0x0.191p-4,*
