codepoint,value,subnormal
0x018c,0x1.8cp-255, 
0x018d,0x1.8dp-255, 
0x018e,0x1.8ep-255, 
0x018f,0x1.8fp-255, 
0x0190,0x1.9p-255, 
0x0191,0x1.91p-255, 
0x0192,0x1.92p-255, 
0x0193,0x1.93p-255, 
0x0194,0x1.94p-255, 
0x0195,0x1.95p-255, 
0x0196,0x1.96p-255, 
0x0197,0x1.97p-255, 
0x0198,0x1.98p-255, 
0x0199,0x1.99p-255, 
0x019a,0x1.9ap-255, 
0x019b,0x1.9bp-255, 
0x019c,0x1.9cp-255, 
0x019d,0x1.9dp-255, 
0x019e,0x1.9ep-255, 
0x019f,0x1.9fp-255, 
0x01a0,0x1.ap-255, 
0x01a1,0x1.a1p-255, 
0x01a2,0x1.a2p-255, 
0x01a3,0x1.a3p-255, 
0x01a4,0x1.a4p-255, 
0x01a5,0x1.a5p-255, 
0x01a6,0x1.a6p-255, 
0x01a7,0x1.a7p-255, 
0x01a8,0x1.a8p-255, 
0x01a9,0x1.a9p-255, 
0x01aa,0x1.aap-255, 
0x01ab,0x1.abp-255, 
0x01ac,0x1.acp-255, 
0x01ad,0x1.adp-255, 
0x01ae,0x1.aep-255, 
0x01af,0x1.afp-255, 
0x01b0,0x1.bp-255, 
0x01b1,0x1.b1p-255, 
0x01b2,0x1.b2p-255, 
0x01b3,0x1.b3p-255, 
0x01b4,0x1.b4p-255, 
0x01b5,0x1.b5p-255, 
0x01b6,0x1.b6p-255, 
0x01b7,0x1.b7p-255, 
0x01b8,0x1.b8p-255, 
0x01b9,0x1.b9p-255, 
0x01ba,0x1.bap-255, 
0x01bb,0x1.bbp-255, 
0x01bc,0x1.bcp-255, 
0x01bd,0x1.bdp-255, 
0x01be,0x1.bep-255, 
0x01bf,0x1.bfp-255, 
0x01c0,0x1.cp-255, 
0x01c1,0x1.c1p-255, 
0x01c2,0x1.c2p-255, 
0x01c3,0x1.c3p-255, 
0x01c4,0x1.c4p-255, 
0x01c5,0x1.c5p-255, 
0x01c6,0x1.c6p-255, 
0x01c7,0x1.c7p-255, 
0x01c8,0x1.c8p-255, 
0x01c9,0x1.c9p-255, 
0x01ca,0x1.cap-255, 
0x01cb,0x1.cbp-255, 
0x01cc,0x1.ccp-255, 
0x01cd,0x1.cdp-255, 
0x01ce,0x1.cep-255, 
0x01cf,0x1.cfp-255, 
0x01d0,0x1.dp-255, 
0x01d1,0x1.d1p-255, 
0x01d2,0x1.d2p-255, 
0x01d3,0x1.d3p-255, 
0x01d4,0x1.d4p-255, 
0x01d5,0x1.d5p-255, 
0x01d6,0x1.d6p-255, 
0x01d7,0x1.d7p-255, 
0x01d8,0x1.d8p-255, 
0x01d9,0x1.d9p-255, 
0x01da,0x1.dap-255, 
0x01db,0x1.dbp-255, 
0x01dc,0x1.dcp-255, 
0x01dd,0x1.ddp-255, 
0x01de,0x1.dep-255, 
0x01df,0x1.dfp-255, 
0x01e0,0x1.ep-255, 
0x01e1,0x1.e1p-255, 
0x01e2,0x1.e2p-255, 
0x01e3,0x1.e3p-255, 
0x01e4,0x1.e4p-255, 
0x01e5,0x1.e5p-255, 
0x01e6,0x1.e6p-255, 
0x01e7,0x1.e7p-255, 
0x01e8,0x1.e8p-255, 
0x01e9,0x1.e9p-255, 
0x01ea,0x1.eap-255, 
0x01eb,0x1.ebp-255, 
0x01ec,0x1.ecp-255, 
0x01ed,0x1.edp-255, 
0x01ee,0x1.eep-255, 
0x01ef,0x1.efp-255, 
0x01f0,0x1.fp-255, 
0x01f1,0x1.f1p-255, 
0x01f2,0x1.f2p-255, 
0x01f3,0x1.f3p-255, 
0x01f4,0x1.f4p-255, 
0x01f5,0x1.f5p-255, 
0x01f6,0x1.f6p-255, 
0x01f7,0x1.f7p-255, 
