codepoint,values,subnormal
0x00d9,0x0.1b2p-8,*
0x00da,0x0.1b4p-8,*
0x00db,0x0.1b6p-8,*
0x00dc,0x0.1b8p-8,*
0x00dd,0x0.1bap-8,*
0x00de,0x0.1bcp-8,*
0x00df,0x0.1bep-8,*
0x00e0,0x0.1cp-8,*
0x00e1,0x0.1c2p-8,*
0x00e2,0x0.1c4p-8,*
0x00e3,0x0.1c6p-8,*
0x00e4,0x0.1c8p-8,*
0x00e5,0x0.1cap-8,*
0x00e6,0x0.1ccp-8,*
0x00e7,0x0.1cep-8,*
0x00e8,0x0.1dp-8,*
0x00e9,0x0.1d2p-8,*
0x00ea,0x0.1d4p-8,*
0x00eb,0x0.1d6p-8,*
0x00ec,0x0.1d8p-8,*
0x00ed,0x0.1dap-8,*
0x00ee,0x0.1dcp-8,*
0x00ef,0x0.1dep-8,*
0x00f0,0x0.1ep-8,*
0x00f1,0x0.1e2p-8,*
0x00f2,0x0.1e4p-8,*
0x00f3,0x0.1e6p-8,*
0x00f4,0x0.1e8p-8,*
0x00f5,0x0.1eap-8,*
0x00f6,0x0.1ecp-8,*
0x00f7,0x0.1eep-8,*
0x00f8,0x0.1fp-8,*
0x00f9,0x0.1f2p-8,*
0x00fa,0x0.1f4p-8,*
0x00fb,0x0.1f6p-8,*
0x00fc,0x0.1f8p-8,*
0x00fd,0x0.1fap-8,*
0x00fe,0x0.1fcp-8,*
0x00ff,0x0.1fep-8,*
0x0100,0x0.2p-8,*
0x0101,0x0.202p-8,*
0x0102,0x0.204p-8,*
0x0103,0x0.206p-8,*
0x0104,0x0.208p-8,*
0x0105,0x0.20ap-8,*
0x0106,0x0.20cp-8,*
0x0107,0x0.20ep-8,*
0x0108,0x0.21p-8,*
0x0109,0x0.212p-8,*
0x010a,0x0.214p-8,*
0x010b,0x0.216p-8,*
0x010c,0x0.218p-8,*
0x010d,0x0.21ap-8,*
0x010e,0x0.21cp-8,*
0x010f,0x0.21ep-8,*
0x0110,0x0.22p-8,*
0x0111,0x0.222p-8,*
0x0112,0x0.224p-8,*
0x0113,0x0.226p-8,*
0x0114,0x0.228p-8,*
0x0115,0x0.22ap-8,*
0x0116,0x0.22cp-8,*
0x0117,0x0.22ep-8,*
0x0118,0x0.23p-8,*
0x0119,0x0.232p-8,*
0x011a,0x0.234p-8,*
0x011b,0x0.236p-8,*
0x011c,0x0.238p-8,*
0x011d,0x0.23ap-8,*
